"iata","name","city","country","country_code","lat","lon","timezone"
"ROB","Roberts International Airport","Monrovia","LR","LR","6.23379","-10.3623","Africa/Monrovia"
"ROC","Frederick Douglass Greater Rochester International Airport","Rochester","US","US","43.1189","-77.672401","America/New_York"
"ROD","Robertson Airport","Robertson","ZA","ZA","-33.812199","19.9028","Africa/Johannesburg"
"ROF","Montague-Yreka Rohrer Field","Montague","US","US","41.7304000854","-122.54599762","UTC"
"ROG","Rogers Municipal Airport-Carter Field","Rogers","US","US","36.37229919","-94.10690308","UTC"
"ROH","Robinhood Airport","ROH","AU","AU","-18.844999313354492","143.7100067138672","UTC"
"ROI","Roi Et Airport","Roi Et","TH","TH","16.1168","103.774002","Asia/Bangkok"
"ROK","Rockhampton Airport","Rockhampton","AU","AU","-23.380019","150.475359","Australia/Brisbane"
"ROL","Roosevelt Municipal Airport","Roosevelt","US","US","40.278301","-110.051003","UTC"
"RON","Juan Jose Rondon Airport","Paipa","CO","CO","5.76454","-73.1054","UTC"
"ROO","Maestro Marinho Franco Airport","Rondonópolis","BR","BR","-16.584292","-54.724803","America/Campo_Grande"
